Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,Annotation
"Canyon Jerboa",1,82949,Uncommon,ZNR,7/280,No,No,0
"Cliffhaven Sell-Sword",2,82951,Common,ZNR,8/280,No,No,0
"Dauntless Unity",2,82953,Common,ZNR,9/280,No,No,0
"Disenchant",2,82955,Common,ZNR,10/280,No,No,0
"Emeria Captain",1,82957,Uncommon,ZNR,11/280,No,No,0
"Expedition Healer",2,82963,Common,ZNR,13/280,No,No,0
"Farsight Adept",2,82965,Common,ZNR,14/280,No,No,0
"Fearless Fledgling",1,82967,Uncommon,ZNR,15/280,No,No,0
"Journey to Oblivion",1,82971,Uncommon,ZNR,17/280,No,No,0
"Kabira Outrider",2,82973,Common,ZNR,18/280,No,No,0
"Kabira Takedown",1,82975,Uncommon,ZNR,19a/280,No,No,0
"Kitesail Cleric",1,82979,Uncommon,ZNR,20/280,No,No,0
"Kor Blademaster",1,82981,Uncommon,ZNR,21/280,No,No,0
"Kor Celebrant",2,82983,Common,ZNR,22/280,No,No,0
"Makindi Ox",2,82989,Common,ZNR,25/280,No,No,0
"Makindi Stampede",1,82991,Uncommon,ZNR,26a/280,No,No,0
"Mesa Lynx",2,82997,Common,ZNR,28/280,No,No,0
"Nahiri's Binding",2,82999,Common,ZNR,29/280,No,No,0
"Paired Tactician",1,83005,Uncommon,ZNR,31/280,No,No,0
"Practiced Tactics",2,83007,Common,ZNR,32/280,No,No,0
"Pressure Point",2,83009,Common,ZNR,33/280,No,No,0
"Prowling Felidar",2,83011,Common,ZNR,34/280,No,No,0
"Resolute Strike",2,83013,Common,ZNR,35/280,No,No,0
"Sea Gate Banneret",2,83015,Common,ZNR,36/280,No,No,0
"Sejiri Shelter",1,83017,Uncommon,ZNR,37a/280,No,No,0
"Shepherd of Heroes",2,83021,Common,ZNR,38/280,No,No,0
"Skyclave Cleric",1,83025,Uncommon,ZNR,40a/280,No,No,0
"Smite the Monstrous",2,83031,Common,ZNR,42/280,No,No,0
"Tazeem Raptor",2,83033,Common,ZNR,43/280,No,No,0
"Anticognition",2,83037,Common,ZNR,45/280,No,No,0
"Beyeen Veil",1,83039,Uncommon,ZNR,46a/280,No,No,0
"Bubble Snare",2,83043,Common,ZNR,47/280,No,No,0
"Cascade Seer",2,83045,Common,ZNR,48/280,No,No,0
"Chilling Trap",2,83049,Common,ZNR,50/280,No,No,0
"Cleric of Chill Depths",2,83051,Common,ZNR,51/280,No,No,0
"Concerted Defense",1,83053,Uncommon,ZNR,52/280,No,No,0
"Cunning Geysermage",2,83059,Common,ZNR,55/280,No,No,0
"Deliberate",2,83061,Common,ZNR,56/280,No,No,0
"Expedition Diviner",2,83063,Common,ZNR,57/280,No,No,0
"Field Research",2,83065,Common,ZNR,58/280,No,No,0
"Glacial Grasp",2,83067,Common,ZNR,59/280,No,No,0
"Into the Roil",2,83075,Common,ZNR,62/280,No,No,0
"Jwari Disruption",1,83079,Uncommon,ZNR,64a/280,No,No,0
"Living Tempest",2,83083,Common,ZNR,65/280,No,No,0
"Lullmage's Domination",1,83085,Uncommon,ZNR,66/280,No,No,0
"Merfolk Falconer",1,83091,Uncommon,ZNR,69/280,No,No,0
"Merfolk Windrobber",1,83093,Uncommon,ZNR,70/280,No,No,0
"Negate",2,83095,Common,ZNR,71/280,No,No,0
"Risen Riptide",2,83099,Common,ZNR,73/280,No,No,0
"Roost of Drakes",1,83101,Uncommon,ZNR,74/280,No,No,0
"Ruin Crab",1,83103,Uncommon,ZNR,75/280,No,No,0
"Seafloor Stalker",2,83111,Common,ZNR,78/280,No,No,0
"Shell Shield",2,83113,Common,ZNR,79/280,No,No,0
"Silundi Vision",1,83115,Uncommon,ZNR,80a/280,No,No,0
"Skyclave Plunder",1,83119,Uncommon,ZNR,81/280,No,No,0
"Skyclave Squid",2,83121,Common,ZNR,82/280,No,No,0
"Sure-Footed Infiltrator",1,83123,Uncommon,ZNR,83/280,No,No,0
"Tazeem Roilmage",2,83125,Common,ZNR,84/280,No,No,0
"Umara Wizard",1,83129,Uncommon,ZNR,86a/280,No,No,0
"Windrider Wizard",1,83133,Uncommon,ZNR,87/280,No,No,0
"Zulaport Duelist",2,83135,Common,ZNR,88/280,No,No,0
"Acquisitions Expert",1,83137,Uncommon,ZNR,89/280,No,No,0
"Blackbloom Rogue",1,83143,Uncommon,ZNR,91a/280,No,No,0
"Blood Beckoning",2,83147,Common,ZNR,92/280,No,No,0
"Blood Price",2,83149,Common,ZNR,93/280,No,No,0
"Bloodchief's Thirst",1,83151,Uncommon,ZNR,94/280,No,No,0
"Deadly Alliance",2,83155,Common,ZNR,96/280,No,No,0
"Demon's Disciple",1,83157,Uncommon,ZNR,97/280,No,No,0
"Drana's Silencer",2,83161,Common,ZNR,99/280,No,No,0
"Dreadwurm",2,83163,Common,ZNR,100/280,No,No,0
"Expedition Skulker",2,83165,Common,ZNR,101/280,No,No,0
"Feed the Swarm",2,83167,Common,ZNR,102/280,No,No,0
"Ghastly Gloomhunter",2,83169,Common,ZNR,103/280,No,No,0
"Guul Draz Mucklord",2,83171,Common,ZNR,104/280,No,No,0
"Hagra Constrictor",2,83173,Common,ZNR,105/280,No,No,0
"Highborn Vampire",2,83179,Common,ZNR,107/280,No,No,0
"Lithoform Blight",1,83183,Uncommon,ZNR,109/280,No,No,0
"Malakir Blood-Priest",2,83185,Common,ZNR,110/280,No,No,0
"Malakir Rebirth",1,83187,Uncommon,ZNR,111a/280,No,No,0
"Marauding Blight-Priest",2,83191,Common,ZNR,112/280,No,No,0
"Mind Carver",1,83193,Uncommon,ZNR,113/280,No,No,0
"Mind Drain",2,83195,Common,ZNR,114/280,No,No,0
"Nimana Skitter-Sneak",2,83199,Common,ZNR,116/280,No,No,0
"Nimana Skydancer",2,83201,Common,ZNR,117/280,No,No,0
"Oblivion's Hunger",2,83205,Common,ZNR,119/280,No,No,0
"Pelakka Predation",1,83207,Uncommon,ZNR,120a/280,No,No,0
"Scion of the Swarm",1,83211,Uncommon,ZNR,121/280,No,No,0
"Shadow Stinger",1,83215,Uncommon,ZNR,123/280,No,No,0
"Skyclave Shadowcat",1,83221,Uncommon,ZNR,126/280,No,No,0
"Subtle Strike",2,83225,Common,ZNR,128/280,No,No,0
"Thwart the Grave",1,83229,Uncommon,ZNR,130/280,No,No,0
"Vanquish the Weak",2,83231,Common,ZNR,131/280,No,No,0
"Zof Consumption",1,83233,Uncommon,ZNR,132a/280,No,No,0
"Akoum Hellhound",2,83237,Common,ZNR,133/280,No,No,0
"Akoum Warrior",1,83239,Uncommon,ZNR,134a/280,No,No,0
"Ardent Electromancer",2,83243,Common,ZNR,135/280,No,No,0
"Cinderclasm",1,83245,Uncommon,ZNR,136/280,No,No,0
"Expedition Champion",2,83249,Common,ZNR,138/280,No,No,0
"Fireblade Charger",1,83251,Uncommon,ZNR,139/280,No,No,0
"Fissure Wizard",2,83253,Common,ZNR,140/280,No,No,0
"Goma Fada Vanguard",1,83255,Uncommon,ZNR,141/280,No,No,0
"Grotag Bug-Catcher",2,83257,Common,ZNR,142/280,No,No,0
"Grotag Night-Runner",1,83259,Uncommon,ZNR,143/280,No,No,0
"Inordinate Rage",2,83261,Common,ZNR,144/280,No,No,0
"Kazuul's Fury",1,83265,Uncommon,ZNR,146a/280,No,No,0
"Molten Blast",2,83273,Common,ZNR,149/280,No,No,0
"Pyroclastic Hellion",2,83279,Common,ZNR,152/280,No,No,0
"Rockslide Sorcerer",1,83283,Uncommon,ZNR,154/280,No,No,0
"Roil Eruption",2,83285,Common,ZNR,155/280,No,No,0
"Scavenged Blade",2,83289,Common,ZNR,157/280,No,No,0
"Scorch Rider",2,83291,Common,ZNR,158/280,No,No,0
"Shatterskull Minotaur",1,83295,Uncommon,ZNR,160/280,No,No,0
"Sizzling Barrage",2,83301,Common,ZNR,162/280,No,No,0
"Skyclave Geopede",1,83303,Uncommon,ZNR,163/280,No,No,0
"Sneaking Guide",2,83305,Common,ZNR,164/280,No,No,0
"Song-Mad Treachery",1,83307,Uncommon,ZNR,165a/280,No,No,0
"Spikefield Hazard",1,83311,Uncommon,ZNR,166a/280,No,No,0
"Spitfire Lagac",2,83315,Common,ZNR,167/280,No,No,0
"Synchronized Spellcraft",2,83317,Common,ZNR,168/280,No,No,0
"Teeterpeak Ambusher",2,83319,Common,ZNR,169/280,No,No,0
"Thundering Rebuke",1,83321,Uncommon,ZNR,170/280,No,No,0
"Thundering Sparkmage",1,83323,Uncommon,ZNR,171/280,No,No,0
"Tormenting Voice",2,83325,Common,ZNR,172/280,No,No,0
"Tuktuk Rubblefort",2,83327,Common,ZNR,173/280,No,No,0
"Adventure Awaits",2,83337,Common,ZNR,177/280,No,No,0
"Bala Ged Recovery",1,83343,Uncommon,ZNR,180a/280,No,No,0
"Broken Wings",2,83347,Common,ZNR,181/280,No,No,0
"Canopy Baloth",2,83349,Common,ZNR,182/280,No,No,0
"Dauntless Survivor",2,83353,Common,ZNR,184/280,No,No,0
"Gnarlid Colony",2,83355,Common,ZNR,185/280,No,No,0
"Iridescent Hornbeetle",1,83359,Uncommon,ZNR,187/280,No,No,0
"Joraga Visionary",2,83361,Common,ZNR,188/280,No,No,0
"Kazandu Nectarpot",2,83367,Common,ZNR,190/280,No,No,0
"Kazandu Stomper",2,83369,Common,ZNR,191/280,No,No,0
"Khalni Ambush",1,83371,Uncommon,ZNR,192a/280,No,No,0
"Might of Murasa",2,83377,Common,ZNR,194/280,No,No,0
"Murasa Brute",2,83379,Common,ZNR,195/280,No,No,0
"Murasa Sproutling",1,83381,Uncommon,ZNR,196/280,No,No,0
"Nissa's Zendikon",2,83383,Common,ZNR,197/280,No,No,0
"Oran-Rief Ooze",1,83385,Rare,ZNR,198/280,No,No,0
"Rabid Bite",2,83387,Common,ZNR,199/280,No,No,0
"Reclaim the Wastes",2,83389,Common,ZNR,200/280,No,No,0
"Roiling Regrowth",1,83391,Uncommon,ZNR,201/280,No,No,0
"Scale the Heights",2,83393,Common,ZNR,202/280,No,No,0
"Skyclave Pick-Axe",1,83397,Uncommon,ZNR,204/280,No,No,0
"Springmantle Cleric",1,83399,Uncommon,ZNR,205/280,No,No,0
"Strength of Solidarity",2,83401,Common,ZNR,206/280,No,No,0
"Tajuru Blightblade",2,83405,Common,ZNR,208/280,No,No,0
"Tajuru Snarecaster",2,83409,Common,ZNR,210/280,No,No,0
"Tangled Florahedron",1,83411,Uncommon,ZNR,211a/280,No,No,0
"Taunting Arbormage",1,83415,Uncommon,ZNR,212/280,No,No,0
"Territorial Scythecat",2,83417,Common,ZNR,213/280,No,No,0
"Turntimber Ascetic",2,83419,Common,ZNR,214/280,No,No,0
"Vastwood Fortification",1,83425,Uncommon,ZNR,216a/280,No,No,0
"Vastwood Surge",1,83429,Uncommon,ZNR,217/280,No,No,0
"Veteran Adventurer",1,83431,Uncommon,ZNR,218/280,No,No,0
"Vine Gecko",1,83433,Uncommon,ZNR,219/280,No,No,0
"Brushfire Elemental",1,83437,Uncommon,ZNR,221/280,No,No,0
"Cleric of Life's Bond",1,83439,Uncommon,ZNR,222/280,No,No,0
"Kargan Warleader",1,83443,Uncommon,ZNR,224/280,No,No,0
"Lullmage's Familiar",1,83449,Uncommon,ZNR,227/280,No,No,0
"Moss-Pit Skeleton",1,83451,Uncommon,ZNR,228/280,No,No,0
"Murasa Rootgrazer",1,83453,Uncommon,ZNR,229/280,No,No,0
"Ravager's Mace",1,83465,Uncommon,ZNR,235/280,No,No,0
"Soaring Thought-Thief",1,83467,Uncommon,ZNR,236/280,No,No,0
"Spoils of Adventure",1,83469,Uncommon,ZNR,237/280,No,No,0
"Umara Mystic",1,83471,Uncommon,ZNR,238/280,No,No,0
"Cliffhaven Kitesail",2,83481,Common,ZNR,243/280,No,No,0
"Relic Amulet",1,83489,Uncommon,ZNR,247/280,No,No,0
"Relic Axe",1,83491,Uncommon,ZNR,248/280,No,No,0
"Relic Golem",1,83493,Uncommon,ZNR,249/280,No,No,0
"Relic Vial",1,83495,Uncommon,ZNR,250/280,No,No,0
"Sea Gate Colossus",2,83497,Common,ZNR,251/280,No,No,0
"Skyclave Sentinel",2,83501,Common,ZNR,253/280,No,No,0
"Spare Supplies",2,83503,Common,ZNR,254/280,No,No,0
"Stonework Packbeast",2,83505,Common,ZNR,255/280,No,No,0
"Utility Knife",2,83507,Common,ZNR,256/280,No,No,0
"Base Camp",1,83509,Uncommon,ZNR,257/280,No,No,0
"Armed and Armored",1,87281,Uncommon,KHM,379,No,No,0
"Starnheim Aspirant",1,87283,Uncommon,KHM,380,No,No,0
"Warchanter Skald",1,87285,Uncommon,KHM,381,No,No,0
"Youthful Valkyrie",1,87287,Uncommon,KHM,382,No,No,0
"Absorb Identity",1,87289,Uncommon,KHM,383,No,No,0
"Giant's Grasp",1,87291,Uncommon,KHM,384,No,No,0
"Elderfang Ritualist",1,87293,Uncommon,KHM,385,No,No,0
"Renegade Reaper",1,87295,Uncommon,KHM,386,No,No,0
"Thornmantle Striker",1,87297,Uncommon,KHM,387,No,No,0
"Bearded Axe",1,87299,Uncommon,KHM,388,No,No,0
"Fire Giant's Fury",1,87301,Uncommon,KHM,389,No,No,0
"Gilded Assault Cart",1,87303,Uncommon,KHM,390,No,No,0
"Elven Ambush",1,87305,Uncommon,KHM,391,No,No,0
"Gladewalker Ritualist",1,87307,Uncommon,KHM,392,No,No,0
"Rampage of the Valkyries",1,87309,Uncommon,KHM,393,No,No,0
"Plains",4,87311,Land,KHM,394,No,No,0
"Island",4,87313,Land,KHM,395,No,No,0
"Swamp",4,87315,Land,KHM,396,No,No,0
"Mountain",4,87317,Land,KHM,397,No,No,0
"Forest",4,87319,Land,KHM,398,No,No,0
"Axgard Braggart",2,87321,Common,KHM,1/285,No,No,0
"Battershield Warrior",1,87323,Uncommon,KHM,2/285,No,No,0
"Battlefield Raptor",2,87325,Common,KHM,3/285,No,No,0
"Beskir Shieldmate",2,87327,Common,KHM,4/285,No,No,0
"Bound in Gold",2,87329,Common,KHM,5/285,No,No,0
"Clarion Spirit",1,87331,Uncommon,KHM,6/285,No,No,0
"Codespell Cleric",2,87333,Common,KHM,7/285,No,No,0
"Divine Gambit",1,87335,Uncommon,KHM,8/285,No,No,0
"Doomskar Oracle",2,87339,Common,KHM,10/285,No,No,0
"Giant Ox",2,87341,Common,KHM,11/285,No,No,0
"Gods' Hall Guardian",2,87345,Common,KHM,13/285,No,No,0
"Goldmaw Champion",2,87347,Common,KHM,14/285,No,No,0
"Invoke the Divine",2,87353,Common,KHM,16/285,No,No,0
"Iron Verdict",2,87355,Common,KHM,17/285,No,No,0
"Kaya's Onslaught",1,87357,Uncommon,KHM,18/285,No,No,0
"Master Skald",2,87359,Common,KHM,19/285,No,No,0
"Revitalize",2,87369,Common,KHM,23/285,No,No,0
"Rune of Sustenance",1,87373,Uncommon,KHM,25/285,No,No,0
"Shepherd of the Cosmos",1,87379,Uncommon,KHM,28/285,No,No,0
"Spectral Steel",1,87383,Uncommon,KHM,30/285,No,No,0
"Stalwart Valkyrie",2,87385,Common,KHM,31/285,No,No,0
"Starnheim Courser",2,87387,Common,KHM,32/285,No,No,0
"Story Seeker",2,87391,Common,KHM,34/285,No,No,0
"Usher of the Fallen",1,87393,Uncommon,KHM,35/285,No,No,0
"Valkyrie's Sword",1,87395,Uncommon,KHM,36/285,No,No,0
"Valor of the Worthy",2,87397,Common,KHM,37/285,No,No,0
"Warhorn Blast",2,87399,Common,KHM,38/285,No,No,0
"Wings of the Cosmos",2,87401,Common,KHM,39/285,No,No,0
"Annul",2,87409,Common,KHM,42/285,No,No,0
"Augury Raven",2,87413,Common,KHM,44/285,No,No,0
"Avalanche Caller",1,87415,Uncommon,KHM,45/285,No,No,0
"Behold the Multiverse",2,87417,Common,KHM,46/285,No,No,0
"Berg Strider",2,87419,Common,KHM,47/285,No,No,0
"Bind the Monster",2,87421,Common,KHM,48/285,No,No,0
"Brinebarrow Intruder",2,87423,Common,KHM,49/285,No,No,0
"Depart the Realm",2,87433,Common,KHM,53/285,No,No,0
"Disdainful Stroke",2,87435,Common,KHM,54/285,No,No,0
"Draugr Thought-Thief",2,87437,Common,KHM,55/285,No,No,0
"Frost Augur",1,87439,Uncommon,KHM,56/285,No,No,0
"Frostpeak Yeti",2,87441,Common,KHM,57/285,No,No,0
"Frostpyre Arcanist",1,87443,Uncommon,KHM,58/285,No,No,0
"Giant's Amulet",1,87445,Uncommon,KHM,59/285,No,No,0
"Glimpse the Cosmos",1,87447,Uncommon,KHM,60/285,No,No,0
"Icebind Pillar",1,87451,Uncommon,KHM,62/285,No,No,0
"Inga Rune-Eyes",1,87455,Uncommon,KHM,64/285,No,No,0
"Karfell Harbinger",2,87457,Common,KHM,65/285,No,No,0
"Littjara Kinseekers",2,87459,Common,KHM,66/285,No,No,0
"Mists of Littjara",2,87461,Common,KHM,67/285,No,No,0
"Mistwalker",2,87463,Common,KHM,68/285,No,No,0
"Pilfering Hawk",2,87469,Common,KHM,71/285,No,No,0
"Ravenform",2,87471,Common,KHM,72/285,No,No,0
"Run Ashore",2,87475,Common,KHM,74/285,No,No,0
"Rune of Flight",1,87477,Uncommon,KHM,75/285,No,No,0
"Saw It Coming",1,87479,Uncommon,KHM,76/285,No,No,0
"Strategic Planning",2,87481,Common,KHM,77/285,No,No,0
"Undersea Invader",2,87483,Common,KHM,78/285,No,No,0
"Bloodsky Berserker",1,87487,Uncommon,KHM,80/285,No,No,0
"Deathknell Berserker",2,87493,Common,KHM,83/285,No,No,0
"Demonic Gifts",2,87495,Common,KHM,84/285,No,No,0
"Dogged Pursuit",2,87497,Common,KHM,85/285,No,No,0
"Draugr Recruiter",2,87501,Common,KHM,87/285,No,No,0
"Draugr's Helm",1,87503,Uncommon,KHM,88/285,No,No,0
"Dread Rider",2,87505,Common,KHM,89/285,No,No,0
"Duskwielder",2,87509,Common,KHM,91/285,No,No,0
"Elderfang Disciple",2,87515,Common,KHM,93/285,No,No,0
"Feed the Serpent",2,87519,Common,KHM,95/285,No,No,0
"Grim Draugr",2,87521,Common,KHM,96/285,No,No,0
"Hailstorm Valkyrie",1,87523,Uncommon,KHM,97/285,No,No,0
"Infernal Pet",2,87527,Common,KHM,99/285,No,No,0
"Jarl of the Forsaken",2,87529,Common,KHM,100/285,No,No,0
"Karfell Kennel-Master",2,87531,Common,KHM,101/285,No,No,0
"Koma's Faithful",2,87533,Common,KHM,102/285,No,No,0
"Poison the Cup",1,87535,Uncommon,KHM,103/285,No,No,0
"Priest of the Haunted Edge",2,87537,Common,KHM,104/285,No,No,0
"Raise the Draugr",2,87539,Common,KHM,105/285,No,No,0
"Return Upon the Tide",1,87541,Uncommon,KHM,106/285,No,No,0
"Rune of Mortality",1,87545,Uncommon,KHM,108/285,No,No,0
"Skemfar Shadowsage",1,87549,Uncommon,KHM,110/285,No,No,0
"Skull Raid",2,87551,Common,KHM,111/285,No,No,0
"Tergrid's Shadow",1,87557,Uncommon,KHM,113/285,No,No,0
"Vengeful Reaper",1,87565,Uncommon,KHM,116/285,No,No,0
"Village Rites",2,87567,Common,KHM,117/285,No,No,0
"Weigh Down",2,87569,Common,KHM,118/285,No,No,0
"Withercrown",2,87571,Common,KHM,119/285,No,No,0
"Axgard Cavalry",2,87575,Common,KHM,121/285,No,No,0
"Basalt Ravager",1,87577,Uncommon,KHM,122/285,No,No,0
"Breakneck Berserker",2,87583,Common,KHM,124/285,No,No,0
"Cinderheart Giant",2,87587,Common,KHM,126/285,No,No,0
"Craven Hulk",2,87589,Common,KHM,127/285,No,No,0
"Crush the Weak",1,87591,Uncommon,KHM,128/285,No,No,0
"Demon Bolt",2,87593,Common,KHM,129/285,No,No,0
"Doomskar Titan",1,87595,Uncommon,KHM,130/285,No,No,0
"Dual Strike",1,87599,Uncommon,KHM,132/285,No,No,0
"Dwarven Hammer",1,87601,Uncommon,KHM,133/285,No,No,0
"Dwarven Reinforcements",2,87603,Common,KHM,134/285,No,No,0
"Fearless Liberator",1,87605,Uncommon,KHM,135/285,No,No,0
"Fearless Pup",2,87607,Common,KHM,136/285,No,No,0
"Frenzied Raider",1,87609,Uncommon,KHM,137/285,No,No,0
"Frost Bite",2,87611,Common,KHM,138/285,No,No,0
"Hagi Mob",2,87615,Common,KHM,140/285,No,No,0
"Immersturm Raider",2,87617,Common,KHM,141/285,No,No,0
"Open the Omenpaths",2,87621,Common,KHM,143/285,No,No,0
"Provoke the Trolls",1,87623,Uncommon,KHM,144/285,No,No,0
"Run Amok",2,87629,Common,KHM,147/285,No,No,0
"Rune of Speed",1,87631,Uncommon,KHM,148/285,No,No,0
"Seize the Spoils",2,87633,Common,KHM,149/285,No,No,0
"Shackles of Treachery",2,87635,Common,KHM,150/285,No,No,0
"Smashing Success",2,87637,Common,KHM,151/285,No,No,0
"Squash",2,87639,Common,KHM,152/285,No,No,0
"Tormentor's Helm",2,87647,Common,KHM,155/285,No,No,0
"Tuskeri Firewalker",2,87651,Common,KHM,157/285,No,No,0
"Vault Robber",2,87653,Common,KHM,158/285,No,No,0
"Arachnoform",2,87655,Common,KHM,159/285,No,No,0
"Blizzard Brawl",1,87661,Uncommon,KHM,162/285,No,No,0
"Boreal Outrider",1,87663,Uncommon,KHM,163/285,No,No,0
"Broken Wings",2,87665,Common,KHM,164/285,No,No,0
"Elderleaf Mentor",2,87667,Common,KHM,165/285,No,No,0
"Elven Bow",1,87669,Uncommon,KHM,166/285,No,No,0
"Fynn, the Fangbearer",1,87679,Uncommon,KHM,170/285,No,No,0
"Glittering Frost",2,87681,Common,KHM,171/285,No,No,0
"Gnottvold Recluse",2,87683,Common,KHM,172/285,No,No,0
"Grizzled Outrider",2,87685,Common,KHM,173/285,No,No,0
"Guardian Gladewalker",2,87687,Common,KHM,174/285,No,No,0
"Horizon Seeker",2,87689,Common,KHM,175/285,No,No,0
"Icehide Troll",2,87691,Common,KHM,176/285,No,No,0
"Jaspera Sentinel",2,87695,Common,KHM,178/285,No,No,0
"King Harald's Revenge",2,87701,Common,KHM,180/285,No,No,0
"Littjara Glade-Warden",1,87707,Uncommon,KHM,182/285,No,No,0
"Mammoth Growth",2,87709,Common,KHM,183/285,No,No,0
"Masked Vandal",2,87711,Common,KHM,184/285,No,No,0
"Path to the World Tree",1,87715,Uncommon,KHM,186/285,No,No,0
"Ravenous Lindwurm",2,87717,Common,KHM,187/285,No,No,0
"Rootless Yew",1,87721,Uncommon,KHM,189/285,No,No,0
"Roots of Wisdom",2,87723,Common,KHM,190/285,No,No,0
"Rune of Might",1,87725,Uncommon,KHM,191/285,No,No,0
"Sarulf's Packmate",2,87727,Common,KHM,192/285,No,No,0
"Sculptor of Winter",2,87729,Common,KHM,193/285,No,No,0
"Snakeskin Veil",2,87731,Common,KHM,194/285,No,No,0
"Spirit of the Aldergard",1,87733,Uncommon,KHM,195/285,No,No,0
"Struggle for Skemfar",2,87735,Common,KHM,196/285,No,No,0
"Aegar, the Freezing Flame",1,87743,Uncommon,KHM,200/285,No,No,0
"Arni Slays the Troll",1,87745,Uncommon,KHM,201/285,No,No,0
"Ascent of the Worthy",1,87747,Uncommon,KHM,202/285,No,No,0
"Binding the Old Gods",1,87755,Uncommon,KHM,206/285,No,No,0
"Fall of the Impostor",1,87759,Uncommon,KHM,208/285,No,No,0
"Firja, Judge of Valor",1,87761,Uncommon,KHM,209/285,No,No,0
"Forging the Tyrite Sword",1,87765,Uncommon,KHM,211/285,No,No,0
"Harald, King of Skemfar",1,87767,Uncommon,KHM,212/285,No,No,0
"Invasion of the Giants",1,87773,Uncommon,KHM,215/285,No,No,0
"Kardur, Doomscourge",1,87775,Uncommon,KHM,216/285,No,No,0
"Kardur's Vicious Return",1,87777,Uncommon,KHM,217/285,No,No,0
"Koll, the Forgemaster",1,87783,Uncommon,KHM,220/285,No,No,0
"Maja, Bretagard Protector",1,87787,Uncommon,KHM,222/285,No,No,0
"Moritte of the Frost",1,87789,Uncommon,KHM,223/285,No,No,0
"Narfi, Betrayer King",1,87791,Uncommon,KHM,224/285,No,No,0
"Niko Defies Destiny",1,87795,Uncommon,KHM,226/285,No,No,0
"Svella, Ice Shaper",1,87803,Uncommon,KHM,230/285,No,No,0
"The Three Seasons",1,87805,Uncommon,KHM,231/285,No,No,0
"The Trickster-God's Heist",1,87807,Uncommon,KHM,232/285,No,No,0
"Vega, the Watcher",1,87809,Uncommon,KHM,233/285,No,No,0
"Bloodline Pretender",1,87813,Uncommon,KHM,235/285,No,No,0
"Colossal Plow",1,87815,Uncommon,KHM,236/285,No,No,0
"Funeral Longboat",2,87819,Common,KHM,238/285,No,No,0
"Goldvein Pick",2,87821,Common,KHM,239/285,No,No,0
"Raiders' Karve",2,87827,Common,KHM,242/285,No,No,0
"Raven Wings",2,87829,Common,KHM,243/285,No,No,0
"Replicating Ring",1,87831,Uncommon,KHM,244/285,No,No,0
"Runed Crown",1,87833,Uncommon,KHM,245/285,No,No,0
"Scorn Effigy",2,87835,Common,KHM,246/285,No,No,0
"Weathered Runestone",1,87837,Uncommon,KHM,247/285,No,No,0
